Series,12-1985,01-1986,02-1986,03-1986,04-1986,05-1986,06-1986,07-1986,08-1986,09-1986,10-1986,11-1986,12-1986,01-1987,02-1987,03-1987,04-1987,05-1987,06-1987,07-1987,08-1987,09-1987,10-1987,11-1987,12-1987,01-1988,02-1988,03-1988,04-1988,05-1988,06-1988,07-1988,08-1988,09-1988,10-1988,11-1988,12-1988,01-1989,02-1989,03-1989,04-1989,05-1989,06-1989,07-1989,08-1989,09-1989,10-1989,11-1989,12-1989,01-1990,02-1990,03-1990,04-1990,05-1990,06-1990,07-1990,08-1990,09-1990,10-1990,11-1990,12-1990,01-1991,02-1991,03-1991,04-1991,05-1991,06-1991,07-1991,08-1991,09-1991,10-1991,11-1991,12-1991,01-1992,02-1992,03-1992,04-1992,05-1992,06-1992,07-1992,08-1992,09-1992,10-1992,11-1992,12-1992,01-1993,02-1993,03-1993,04-1993,05-1993,06-1993,07-1993,08-1993,09-1993,10-1993,11-1993,12-1993,01-1994,02-1994,03-1994,04-1994,05-1994,06-1994,07-1994,08-1994,09-1994,10-1994,11-1994,12-1994,01-1995,02-1995,03-1995,04-1995,05-1995,06-1995,07-1995,08-1995,09-1995,10-1995,11-1995,12-1995,01-1996,02-1996,03-1996,04-1996,05-1996,06-1996,07-1996,08-1996,09-1996,10-1996,11-1996,12-1996,01-1997,02-1997,03-1997,04-1997,05-1997,06-1997,07-1997,08-1997,09-1997,10-1997,11-1997,12-1997,01-1998,02-1998,03-1998,04-1998,05-1998,06-1998,07-1998,08-1998,09-1998,10-1998,11-1998,12-1998,01-1999,02-1999,03-1999,04-1999,05-1999,06-1999,07-1999,08-1999,09-1999,10-1999,11-1999,12-1999,01-2000,02-2000,03-2000,04-2000,05-2000,06-2000,07-2000,08-2000,09-2000,10-2000,11-2000,12-2000,01-2001,02-2001,03-2001,04-2001,05-2001,06-2001,07-2001,08-2001,09-2001,10-2001,11-2001,12-2001,01-2002,02-2002,03-2002,04-2002,05-2002,06-2002,07-2002,08-2002,09-2002,10-2002,11-2002,12-2002,01-2003,02-2003,03-2003,04-2003,05-2003,06-2003,07-2003,08-2003,09-2003,10-2003,11-2003,12-2003,01-2004,02-2004,03-2004,04-2004,05-2004,06-2004,07-2004,08-2004,09-2004,10-2004,11-2004,12-2004,01-2005,02-2005,03-2005,04-2005,05-2005,06-2005,07-2005,08-2005,09-2005,10-2005,11-2005,12-2005,01-2006,02-2006,03-2006,04-2006,05-2006,06-2006,07-2006,08-2006,09-2006,10-2006,11-2006,12-2006,01-2007,02-2007,03-2007,04-2007,05-2007,06-2007,07-2007,08-2007,09-2007,10-2007,11-2007,12-2007,01-2008,02-2008,03-2008,04-2008,05-2008,06-2008,07-2008,08-2008,09-2008,10-2008,11-2008,12-2008,01-2009,02-2009,03-2009,04-2009,05-2009,06-2009,07-2009,08-2009,09-2009,10-2009,11-2009,12-2009,01-2010,02-2010,03-2010,04-2010,05-2010,06-2010,07-2010,08-2010,09-2010,10-2010,11-2010,12-2010,01-2011,02-2011,03-2011,04-2011,05-2011,06-2011,07-2011,08-2011,09-2011,10-2011,11-2011,12-2011,01-2012,02-2012,03-2012,04-2012,05-2012,06-2012,07-2012,08-2012,09-2012,10-2012,11-2012,12-2012,01-2013,02-2013,03-2013,04-2013,05-2013,06-2013,07-2013,08-2013,09-2013,10-2013,11-2013,12-2013,01-2014,02-2014,03-2014,04-2014,05-2014,06-2014,07-2014,08-2014,09-2014,10-2014,11-2014,12-2014,01-2015,02-2015,03-2015,04-2015,05-2015,06-2015,07-2015,08-2015,09-2015,10-2015,11-2015,12-2015,01-2016,02-2016,03-2016,04-2016,05-2016,06-2016,07-2016,08-2016,09-2016,10-2016,11-2016,12-2016,01-2017,02-2017,03-2017,04-2017,05-2017,06-2017,07-2017,08-2017,09-2017,10-2017,11-2017,12-2017,01-2018,02-2018,03-2018,04-2018,05-2018,06-2018,07-2018,08-2018,09-2018,10-2018,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,06-2019,07-2019,08-2019,09-2019,10-2019,11-2019,12-2019,01-2020,02-2020,03-2020,04-2020,05-2020,06-2020,07-2020,08-2020,09-2020,10-2020,11-2020,12-2020,01-2021,02-2021,03-2021,04-2021,05-2021,06-2021,07-2021,08-2021,09-2021,10-2021,11-2021,12-2021,01-2022,02-2022,03-2022,04-2022,05-2022,06-2022,07-2022,08-2022,09-2022,10-2022,11-2022,12-2022,01-2023,02-2023,03-2023,04-2023,05-2023,06-2023,07-2023,08-2023,09-2023,10-2023,11-2023,12-2023,01-2024,02-2024,03-2024,04-2024,05-2024,06-2024,07-2024,08-2024,09-2024,10-2024,11-2024,12-2024,01-2025,02-2025,03-2025,04-2025,05-2025,06-2025,07-2025,08-2025,09-2025,10-2025,11-2025
Ohio,245,281,258,294,318,345,364,420,382,385,320,270,264,330,262,325,294,345,385,406,393,360,315,321,271,289,290,336,371,353,396,424,411,322,339,305,248,340,271,345,374,348,390,491,417,412,391,426,289,379,291,308,375,433,444,467,429,438,406,401,340,351,326,448,430,495,537,514,501,445,451,344,382,337,371,449,409,490,467,483,503,464,407,374,366,387,320,401,382,391,428,507,515,346,349,341,317,355,346,349,359,370,410,446,409,364,336,364,535,310,270,357,327,377,360,377,461,337,368,294,253,285,282,320,345,353,326,349,386,312,343,273,297,252,232,261,275,301,299,382,336,296,296,237,272,269,267,288,267,329,282,335,336,308,292,262,196,245,215,264,278,305,292,379,376,268,301,250,231,297,280,307,286,298,355,368,332,322,273,274,205,290,264,290,336,345,337,412,384,342,315,335,305,306,302,360,369,369,431,418,414,430,345,327,277,302,244,365,325,396,370,426,437,362,322,311,269,307,333,344,329,429,408,413,358,388,352,327,298,336,272,307,346,334,385,395,390,403,377,321,286,363,294,382,388,388,368,461,405,326,350,282,298,333,288,375,332,370,380,437,406,395,315,320,332,365,318,326,332,375,387,405,364,313,343,327,296,323,272,347,344,351,349,322,377,325,301,275,285,274,214,252,319,316,334,346,321,335,294,284,211,227,207,270,283,310,347,347,342,280,293,281,280,283,265,297,282,320,296,360,363,321,300,279,259,288,260,309,326,384,364,368,339,327,324,337,287,404,317,398,378,410,434,416,400,439,378,338,326,420,314,366,359,463,512,484,458,395,381,386,330,492,397,406,406,451,473,488,464,484,450,429,350,614,406,455,487,516,535,487,507,470,456,432,413,611,438,473,478,487,515,543,549,523,486,423,423,574,402,464,461,510,515,528,520,537,522,433,456,560,459,426,337,423,501,527,493,470,471,419,411,516,384,483,438,501,518,546,528,471,521,451,427,488,433,505,543,534,516,548,570,530,515,445,416,590,476,531,464,523,532,492,451,463,483,421,402,462,427,478,480,522,476,489,491,465,510,430,431,395,350,409,410,422,344,373,302,271,160,16
Ohio Clearances,192,165,146,190,172,176,187,193,231,209,197,129,157,208,148,190,161,175,235,189,206,192,181,198,176,152,171,194,184,190,205,212,199,216,165,162,188,159,209,214,181,180,270,203,241,206,175,208,157,226,156,196,162,232,249,239,207,222,202,176,178,154,188,186,188,264,262,197,258,209,190,172,200,184,173,206,215,231,247,238,221,208,209,174,200,167,173,194,198,204,175,236,218,202,167,179,190,172,201,185,179,155,208,162,193,187,202,149,249,163,133,210,157,174,164,171,227,163,199,142,209,162,143,141,130,156,151,163,191,140,151,144,147,145,122,98,146,153,154,167,150,130,140,110,79,176,158,141,124,148,124,126,173,174,72,93,185,88,75,132,104,104,131,114,140,100,109,93,208,135,78,140,93,98,119,114,126,91,105,156,87,86,92,88,105,120,99,136,153,102,113,104,88,95,111,137,124,153,135,145,129,131,125,83,104,94,102,76,101,95,99,107,115,104,108,92,72,57,85,92,100,102,102,111,95,103,88,87,90,74,73,84,92,96,88,81,102,100,92,106,92,75,66,108,85,94,80,108,100,79,95,72,85,80,67,96,76,101,103,110,105,94,102,69,105,94,86,71,84,95,85,104,102,67,73,75,60,70,80,83,73,69,77,67,67,70,82,58,62,65,65,51,61,72,75,82,64,66,58,79,39,57,66,57,75,65,82,74,83,62,59,58,53,61,58,68,62,66,60,80,77,64,74,66,53,72,67,55,65,68,75,90,68,74,71,65,50,92,79,75,94,98,96,92,92,111,85,73,69,70,58,83,76,73,88,73,97,88,85,69,62,85,80,99,84,87,97,98,104,88,82,83,70,67,62,69,95,67,98,73,79,67,92,81,60,86,74,71,79,84,73,93,75,76,107,72,87,97,79,68,93,75,57,96,64,75,62,59,57,77,74,66,66,53,63,73,65,70,73,69,71,48,69,59,59,47,73,71,76,46,56,70,50,52,52,72,75,79,78,67,82,67,63,71,51,67,73,81,64,64,71,59,64,70,70,47,40,72,75,61,49,64,69,70,56,72,68,53,61,60,73,59,62,81,68,80,52,36,26,8
