Series,"12-1985","01-1986","02-1986","03-1986","04-1986","05-1986","06-1986","07-1986","08-1986","09-1986","10-1986","11-1986","12-1986","01-1987","02-1987","03-1987","04-1987","05-1987","06-1987","07-1987","08-1987","09-1987","10-1987","11-1987","12-1987","01-1988","02-1988","03-1988","04-1988","05-1988","06-1988","07-1988","08-1988","09-1988","10-1988","11-1988","12-1988","01-1989","02-1989","03-1989","04-1989","05-1989","06-1989","07-1989","08-1989","09-1989","10-1989","11-1989","12-1989","01-1990","02-1990","03-1990","04-1990","05-1990","06-1990","07-1990","08-1990","09-1990","10-1990","11-1990","12-1990","01-1991","02-1991","03-1991","04-1991","05-1991","06-1991","07-1991","08-1991","09-1991","10-1991","11-1991","12-1991","01-1992","02-1992","03-1992","04-1992","05-1992","06-1992","07-1992","08-1992","09-1992","10-1992","11-1992","12-1992","01-1993","02-1993","03-1993","04-1993","05-1993","06-1993","07-1993","08-1993","09-1993","10-1993","11-1993","12-1993","01-1994","02-1994","03-1994","04-1994","05-1994","06-1994","07-1994","08-1994","09-1994","10-1994","11-1994","12-1994","01-1995","02-1995","03-1995","04-1995","05-1995","06-1995","07-1995","08-1995","09-1995","10-1995","11-1995","12-1995","01-1996","02-1996","03-1996","04-1996","05-1996","06-1996","07-1996","08-1996","09-1996","10-1996","11-1996","12-1996","01-1997","02-1997","03-1997","04-1997","05-1997","06-1997","07-1997","08-1997","09-1997","10-1997","11-1997","12-1997","01-1998","02-1998","03-1998","04-1998","05-1998","06-1998","07-1998","08-1998","09-1998","10-1998","11-1998","12-1998","01-1999","02-1999","03-1999","04-1999","05-1999","06-1999","07-1999","08-1999","09-1999","10-1999","11-1999","12-1999","01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025","11-2025"
Utah,91,82,76,86,67,84,72,81,120,76,89,63,80,65,67,73,65,48,77,64,66,73,91,99,98,94,74,68,52,61,81,62,83,55,89,92,103,71,74,74,65,54,80,87,72,79,84,67,66,89,77,70,68,84,79,87,85,112,86,85,56,74,78,81,61,68,74,86,102,86,124,70,84,99,89,102,93,65,74,75,90,94,83,73,73,79,65,93,67,81,78,102,73,95,124,122,100,81,83,80,93,75,117,112,124,115,137,83,111,81,89,98,85,104,91,88,126,143,135,106,127,129,84,97,95,133,103,88,94,109,145,113,132,107,103,92,100,132,121,147,118,90,141,111,99,127,111,108,88,109,139,132,116,93,138,118,112,114,84,88,82,87,86,95,107,92,109,103,104,94,89,114,114,114,96,103,91,86,111,80,95,115,108,80,92,100,109,113,92,85,103,66,121,99,66,86,96,85,75,129,92,111,104,101,96,111,77,110,105,125,93,130,90,104,90,104,102,121,97,129,98,104,76,105,122,90,94,90,103,108,74,79,85,116,91,109,107,87,97,79,74,85,81,95,92,99,85,91,126,111,111,131,128,120,100,84,101,124,117,137,132,126,158,105,118,141,100,109,89,126,126,101,119,103,135,132,136,125,98,109,65,85,90,118,122,107,108,116,158,104,96,102,103,102,99,132,101,107,100,94,127,85,82,76,98,94,96,113,104,96,99,62,73,69,81,61,82,99,106,103,83,78,104,84,120,91,89,87,76,112,122,118,104,115,103,95,129,95,102,90,82,93,96,127,106,127,127,117,115,147,90,110,87,87,110,132,114,103,115,117,111,144,110,111,116,132,157,143,129,138,125,102,109,117,116,140,126,143,137,144,96,106,102,123,114,141,81,102,82,90,82,121,119,80,110,94,114,90,77,74,79,118,76,112,93,94,110,98,96,86,69,76,82,82,106,122,127,109,140,109,93,80,85,74,84,92,78,117,103,93,102,85,82,70,90,78,73,98,95,88,85,93,96,62,68,58,65,76,66,90,58,83,89,86,95,61,70,71,70,66,81,90,91,92,89,89,97,74,77,64,45,60,61,79,67,69,85,65,0,
Utah Clearances,36,34,34,44,35,20,35,25,41,24,38,25,34,17,23,30,19,20,19,21,16,20,26,30,34,40,22,17,9,23,21,32,34,23,30,22,31,27,37,26,23,22,29,20,33,18,39,19,30,30,39,20,33,29,38,28,23,36,34,24,20,24,22,29,25,29,20,25,33,23,44,24,20,35,25,29,48,27,34,20,31,28,21,23,22,21,22,32,31,25,22,28,26,43,25,29,21,22,21,32,22,35,38,27,33,27,41,33,22,26,45,33,26,32,24,33,46,37,24,40,42,30,25,23,20,36,24,28,21,29,41,25,31,30,22,18,33,41,36,31,34,29,34,32,32,31,39,40,35,38,33,32,31,45,43,25,52,30,28,33,35,32,19,29,32,39,26,38,36,30,25,31,30,30,52,42,45,31,50,26,32,33,53,27,37,39,44,45,29,29,49,40,26,27,27,25,28,18,15,25,22,21,20,20,30,25,19,29,22,36,22,32,34,26,40,32,44,32,31,54,30,26,26,30,35,45,33,31,37,36,22,23,26,33,27,35,38,33,24,34,27,30,23,24,35,41,28,29,37,39,40,43,41,26,32,33,23,28,40,41,42,43,45,28,36,47,30,41,32,38,37,42,50,34,46,41,45,43,34,51,30,38,32,36,34,35,39,41,61,42,36,39,36,32,51,33,36,29,23,44,38,24,34,33,41,20,32,31,29,32,25,29,24,26,23,26,44,28,38,34,35,19,30,22,45,32,33,36,21,27,38,35,31,31,45,24,31,33,47,25,31,32,27,42,27,50,33,29,38,46,35,35,27,32,34,41,30,42,26,32,37,37,32,34,27,40,34,43,36,36,36,32,26,37,32,39,44,37,49,38,30,24,33,30,30,52,29,26,31,32,23,41,42,29,31,31,32,29,22,30,28,38,30,33,30,28,34,44,30,30,29,36,42,25,29,43,36,34,32,25,33,19,31,21,32,35,32,34,45,27,34,29,33,23,16,35,31,30,33,27,37,38,34,26,29,34,29,22,30,41,26,24,39,26,35,24,27,27,23,23,32,26,34,32,30,41,33,31,33,22,24,28,27,37,26,33,32,19,0,
