Series,12-1985,01-1986,02-1986,03-1986,04-1986,05-1986,06-1986,07-1986,08-1986,09-1986,10-1986,11-1986,12-1986,01-1987,02-1987,03-1987,04-1987,05-1987,06-1987,07-1987,08-1987,09-1987,10-1987,11-1987,12-1987,01-1988,02-1988,03-1988,04-1988,05-1988,06-1988,07-1988,08-1988,09-1988,10-1988,11-1988,12-1988,01-1989,02-1989,03-1989,04-1989,05-1989,06-1989,07-1989,08-1989,09-1989,10-1989,11-1989,12-1989,01-1990,02-1990,03-1990,04-1990,05-1990,06-1990,07-1990,08-1990,09-1990,10-1990,11-1990,12-1990,01-1991,02-1991,03-1991,04-1991,05-1991,06-1991,07-1991,08-1991,09-1991,10-1991,11-1991,12-1991,01-1992,02-1992,03-1992,04-1992,05-1992,06-1992,07-1992,08-1992,09-1992,10-1992,11-1992,12-1992,01-1993,02-1993,03-1993,04-1993,05-1993,06-1993,07-1993,08-1993,09-1993,10-1993,11-1993,12-1993,01-1994,02-1994,03-1994,04-1994,05-1994,06-1994,07-1994,08-1994,09-1994,10-1994,11-1994,12-1994,01-1995,02-1995,03-1995,04-1995,05-1995,06-1995,07-1995,08-1995,09-1995,10-1995,11-1995,12-1995,01-1996,02-1996,03-1996,04-1996,05-1996,06-1996,07-1996,08-1996,09-1996,10-1996,11-1996,12-1996,01-1997,02-1997,03-1997,04-1997,05-1997,06-1997,07-1997,08-1997,09-1997,10-1997,11-1997,12-1997,01-1998,02-1998,03-1998,04-1998,05-1998,06-1998,07-1998,08-1998,09-1998,10-1998,11-1998,12-1998,01-1999,02-1999,03-1999,04-1999,05-1999,06-1999,07-1999,08-1999,09-1999,10-1999,11-1999,12-1999,01-2000,02-2000,03-2000,04-2000,05-2000,06-2000,07-2000,08-2000,09-2000,10-2000,11-2000,12-2000,01-2001,02-2001,03-2001,04-2001,05-2001,06-2001,07-2001,08-2001,09-2001,10-2001,11-2001,12-2001,01-2002,02-2002,03-2002,04-2002,05-2002,06-2002,07-2002,08-2002,09-2002,10-2002,11-2002,12-2002,01-2003,02-2003,03-2003,04-2003,05-2003,06-2003,07-2003,08-2003,09-2003,10-2003,11-2003,12-2003,01-2004,02-2004,03-2004,04-2004,05-2004,06-2004,07-2004,08-2004,09-2004,10-2004,11-2004,12-2004,01-2005,02-2005,03-2005,04-2005,05-2005,06-2005,07-2005,08-2005,09-2005,10-2005,11-2005,12-2005,01-2006,02-2006,03-2006,04-2006,05-2006,06-2006,07-2006,08-2006,09-2006,10-2006,11-2006,12-2006,01-2007,02-2007,03-2007,04-2007,05-2007,06-2007,07-2007,08-2007,09-2007,10-2007,11-2007,12-2007,01-2008,02-2008,03-2008,04-2008,05-2008,06-2008,07-2008,08-2008,09-2008,10-2008,11-2008,12-2008,01-2009,02-2009,03-2009,04-2009,05-2009,06-2009,07-2009,08-2009,09-2009,10-2009,11-2009,12-2009,01-2010,02-2010,03-2010,04-2010,05-2010,06-2010,07-2010,08-2010,09-2010,10-2010,11-2010,12-2010,01-2011,02-2011,03-2011,04-2011,05-2011,06-2011,07-2011,08-2011,09-2011,10-2011,11-2011,12-2011,01-2012,02-2012,03-2012,04-2012,05-2012,06-2012,07-2012,08-2012,09-2012,10-2012,11-2012,12-2012,01-2013,02-2013,03-2013,04-2013,05-2013,06-2013,07-2013,08-2013,09-2013,10-2013,11-2013,12-2013,01-2014,02-2014,03-2014,04-2014,05-2014,06-2014,07-2014,08-2014,09-2014,10-2014,11-2014,12-2014,01-2015,02-2015,03-2015,04-2015,05-2015,06-2015,07-2015,08-2015,09-2015,10-2015,11-2015,12-2015,01-2016,02-2016,03-2016,04-2016,05-2016,06-2016,07-2016,08-2016,09-2016,10-2016,11-2016,12-2016,01-2017,02-2017,03-2017,04-2017,05-2017,06-2017,07-2017,08-2017,09-2017,10-2017,11-2017,12-2017,01-2018,02-2018,03-2018,04-2018,05-2018,06-2018,07-2018,08-2018,09-2018,10-2018,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,06-2019,07-2019,08-2019,09-2019,10-2019,11-2019,12-2019,01-2020,02-2020,03-2020,04-2020,05-2020,06-2020,07-2020,08-2020,09-2020,10-2020,11-2020,12-2020,01-2021,02-2021,03-2021,04-2021,05-2021,06-2021,07-2021,08-2021,09-2021,10-2021,11-2021,12-2021,01-2022,02-2022,03-2022,04-2022,05-2022,06-2022,07-2022,08-2022,09-2022,10-2022,11-2022,12-2022,01-2023,02-2023,03-2023,04-2023,05-2023,06-2023,07-2023,08-2023,09-2023,10-2023,11-2023,12-2023,01-2024,02-2024,03-2024,04-2024,05-2024,06-2024,07-2024,08-2024,09-2024,10-2024,11-2024,12-2024,01-2025,02-2025,03-2025,04-2025,05-2025,06-2025,07-2025,08-2025,09-2025,10-2025,11-2025
Ohio,1378,1524,1374,1815,1961,2132,2421,2391,2354,2035,1807,1715,1551,1540,1509,1668,1631,1904,2105,2203,1974,1941,1721,1726,1549,1454,1463,1893,1915,2298,2236,2180,2328,2081,1715,1551,1604,1845,1515,1926,2002,2182,2295,2425,2292,2135,2076,1773,1465,1741,1683,1886,1978,2241,2519,2895,2511,2349,2119,2233,1941,1842,1756,2070,2402,2709,2881,2969,3034,2574,2377,1879,1885,1877,1861,2123,2272,2432,2304,2709,2436,2136,2197,1994,1910,1869,1500,1869,2071,2177,2202,2516,2416,2045,2045,1959,1699,1490,1480,1902,1997,2119,2190,2314,2252,2171,1995,1942,2424,1584,1532,1861,1884,2290,2192,2471,2321,2274,2076,1834,1593,1629,1553,1569,1684,1996,1965,2076,1986,1747,1607,1319,1431,1282,1130,1458,1409,1539,1580,1751,1674,1634,1388,1310,1172,1236,1070,1208,1184,1473,1320,1661,1397,1358,1382,1088,1176,978,921,1024,1115,1218,1246,1312,1234,1256,1199,1067,990,1053,959,1129,1180,1384,1285,1363,1326,1270,1288,1096,1063,1095,1035,1191,1384,1428,1375,1619,1631,1358,1414,1253,1288,1127,1035,1184,1302,1322,1506,1530,1471,1549,1419,1175,1022,975,862,1159,1226,1219,1403,1463,1432,1280,1198,1058,959,1045,1138,1093,1256,1386,1345,1397,1396,1320,1330,1063,1062,1066,898,1133,1226,1345,1394,1502,1353,1322,1147,1104,1011,1182,979,1167,1341,1355,1395,1611,1541,1319,1297,1168,1224,1134,932,1355,1217,1591,1555,1613,1612,1512,1293,1104,1214,1124,984,1183,1326,1454,1447,1608,1494,1444,1242,1087,1155,985,955,1185,1280,1448,1460,1489,1502,1351,1252,1148,1104,1090,906,1223,1265,1362,1347,1488,1378,1240,1262,1056,881,997,842,1018,1163,1399,1338,1470,1366,1228,1267,1023,1108,1080,943,1303,1153,1372,1253,1423,1489,1267,1156,1053,913,1000,880,1035,1120,1304,1261,1317,1340,1276,1147,1028,939,1011,931,1049,1198,1327,1279,1316,1397,1175,1106,976,890,978,840,1171,1189,1478,1299,1471,1361,1238,1135,1050,902,1165,1042,1313,1155,1549,1550,1640,1511,1296,1464,1166,1064,1186,1016,1172,1480,1374,1456,1611,1497,1524,1440,1325,1193,1297,1175,1303,1408,1761,1664,1700,1697,1565,1486,1285,1330,1242,1227,1411,1523,1845,1692,1924,1740,1593,1411,1407,1466,1323,1262,1486,1493,2012,2335,2567,2352,1865,1807,1714,1621,1571,1429,1708,1834,2281,2216,2438,2182,1996,1989,1601,1571,1599,1338,1856,1776,2115,2044,2215,1921,1869,1846,1619,1553,1623,1546,1649,1975,2264,2121,2079,2048,1924,1852,1561,1777,1454,1569,1740,2042,2309,2086,2110,2094,2033,1941,1690,1631,1413,1303,1743,1837,1946,1978,1789,1538,1334,981,101
Ohio Clearances,1007,994,942,1028,1259,1220,1404,1461,1655,1332,1286,995,1109,1071,924,1023,1049,1089,1292,1358,1238,1361,1069,1106,1097,1064,939,1064,1148,1216,1319,1156,1430,1241,1247,1001,1019,1038,916,1193,1150,1291,1398,1339,1366,1347,1175,1084,1051,1107,981,1083,1048,1273,1339,1449,1474,1173,1176,1022,1036,949,853,1038,1149,1399,1231,1500,1543,1252,1161,991,1186,1060,914,1274,1232,1224,1090,1376,1270,1105,1149,933,1148,910,894,961,1063,1047,1054,1067,1123,1056,939,1030,799,811,747,927,893,1047,980,1145,1028,1138,1137,1051,1207,874,813,950,936,1082,1086,1131,1126,1100,1047,819,943,941,820,790,724,914,977,1176,1132,918,922,852,748,769,517,712,650,723,852,844,863,800,610,634,546,812,662,581,541,697,622,814,780,750,442,484,753,398,551,582,560,536,591,583,639,590,622,446,727,463,497,601,600,643,594,528,846,592,680,564,463,566,515,576,651,764,667,745,721,616,651,600,484,525,571,519,544,667,716,528,701,650,601,455,430,385,345,424,452,464,568,538,566,559,506,405,418,458,509,534,565,574,555,631,594,596,604,548,492,496,408,495,577,594,632,620,616,614,490,496,491,497,451,559,536,568,590,622,671,554,620,499,482,462,396,596,534,567,684,677,673,593,592,495,502,540,476,547,586,698,643,677,669,585,607,491,497,489,460,519,557,625,576,655,637,584,585,506,452,488,461,498,508,547,579,581,578,526,519,463,414,492,401,422,503,549,530,596,502,538,557,403,471,487,418,520,498,547,483,548,626,515,471,464,394,447,408,473,450,531,546,501,536,513,468,405,375,508,435,429,493,513,507,496,556,502,457,401,368,415,401,440,453,502,473,504,464,429,383,446,395,448,429,464,395,508,566,547,607,462,521,437,428,445,392,501,527,555,537,543,525,519,516,507,471,510,458,481,506,665,535,632,627,597,566,512,481,480,480,579,585,676,612,710,650,641,523,522,524,557,511,612,558,656,737,757,800,684,617,613,591,553,490,534,586,691,640,792,699,637,657,535,515,545,515,671,693,743,744,705,724,602,610,610,570,563,578,622,673,799,793,723,780,808,659,650,683,647,677,683,855,906,767,820,891,834,791,731,695,679,559,751,728,813,810,773,655,553,381,51
