Series,12-1985,01-1986,02-1986,03-1986,04-1986,05-1986,06-1986,07-1986,08-1986,09-1986,10-1986,11-1986,12-1986,01-1987,02-1987,03-1987,04-1987,05-1987,06-1987,07-1987,08-1987,09-1987,10-1987,11-1987,12-1987,01-1988,02-1988,03-1988,04-1988,05-1988,06-1988,07-1988,08-1988,09-1988,10-1988,11-1988,12-1988,01-1989,02-1989,03-1989,04-1989,05-1989,06-1989,07-1989,08-1989,09-1989,10-1989,11-1989,12-1989,01-1990,02-1990,03-1990,04-1990,05-1990,06-1990,07-1990,08-1990,09-1990,10-1990,11-1990,12-1990,01-1991,02-1991,03-1991,04-1991,05-1991,06-1991,07-1991,08-1991,09-1991,10-1991,11-1991,12-1991,01-1992,02-1992,03-1992,04-1992,05-1992,06-1992,07-1992,08-1992,09-1992,10-1992,11-1992,12-1992,01-1993,02-1993,03-1993,04-1993,05-1993,06-1993,07-1993,08-1993,09-1993,10-1993,11-1993,12-1993,01-1994,02-1994,03-1994,04-1994,05-1994,06-1994,07-1994,08-1994,09-1994,10-1994,11-1994,12-1994,01-1995,02-1995,03-1995,04-1995,05-1995,06-1995,07-1995,08-1995,09-1995,10-1995,11-1995,12-1995,01-1996,02-1996,03-1996,04-1996,05-1996,06-1996,07-1996,08-1996,09-1996,10-1996,11-1996,12-1996,01-1997,02-1997,03-1997,04-1997,05-1997,06-1997,07-1997,08-1997,09-1997,10-1997,11-1997,12-1997,01-1998,02-1998,03-1998,04-1998,05-1998,06-1998,07-1998,08-1998,09-1998,10-1998,11-1998,12-1998,01-1999,02-1999,03-1999,04-1999,05-1999,06-1999,07-1999,08-1999,09-1999,10-1999,11-1999,12-1999,01-2000,02-2000,03-2000,04-2000,05-2000,06-2000,07-2000,08-2000,09-2000,10-2000,11-2000,12-2000,01-2001,02-2001,03-2001,04-2001,05-2001,06-2001,07-2001,08-2001,09-2001,10-2001,11-2001,12-2001,01-2002,02-2002,03-2002,04-2002,05-2002,06-2002,07-2002,08-2002,09-2002,10-2002,11-2002,12-2002,01-2003,02-2003,03-2003,04-2003,05-2003,06-2003,07-2003,08-2003,09-2003,10-2003,11-2003,12-2003,01-2004,02-2004,03-2004,04-2004,05-2004,06-2004,07-2004,08-2004,09-2004,10-2004,11-2004,12-2004,01-2005,02-2005,03-2005,04-2005,05-2005,06-2005,07-2005,08-2005,09-2005,10-2005,11-2005,12-2005,01-2006,02-2006,03-2006,04-2006,05-2006,06-2006,07-2006,08-2006,09-2006,10-2006,11-2006,12-2006,01-2007,02-2007,03-2007,04-2007,05-2007,06-2007,07-2007,08-2007,09-2007,10-2007,11-2007,12-2007,01-2008,02-2008,03-2008,04-2008,05-2008,06-2008,07-2008,08-2008,09-2008,10-2008,11-2008,12-2008,01-2009,02-2009,03-2009,04-2009,05-2009,06-2009,07-2009,08-2009,09-2009,10-2009,11-2009,12-2009,01-2010,02-2010,03-2010,04-2010,05-2010,06-2010,07-2010,08-2010,09-2010,10-2010,11-2010,12-2010,01-2011,02-2011,03-2011,04-2011,05-2011,06-2011,07-2011,08-2011,09-2011,10-2011,11-2011,12-2011,01-2012,02-2012,03-2012,04-2012,05-2012,06-2012,07-2012,08-2012,09-2012,10-2012,11-2012,12-2012,01-2013,02-2013,03-2013,04-2013,05-2013,06-2013,07-2013,08-2013,09-2013,10-2013,11-2013,12-2013,01-2014,02-2014,03-2014,04-2014,05-2014,06-2014,07-2014,08-2014,09-2014,10-2014,11-2014,12-2014,01-2015,02-2015,03-2015,04-2015,05-2015,06-2015,07-2015,08-2015,09-2015,10-2015,11-2015,12-2015,01-2016,02-2016,03-2016,04-2016,05-2016,06-2016,07-2016,08-2016,09-2016,10-2016,11-2016,12-2016,01-2017,02-2017,03-2017,04-2017,05-2017,06-2017,07-2017,08-2017,09-2017,10-2017,11-2017,12-2017,01-2018,02-2018,03-2018,04-2018,05-2018,06-2018,07-2018,08-2018,09-2018,10-2018,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,06-2019,07-2019,08-2019,09-2019,10-2019,11-2019,12-2019,01-2020,02-2020,03-2020,04-2020,05-2020,06-2020,07-2020,08-2020,09-2020,10-2020,11-2020,12-2020,01-2021,02-2021,03-2021,04-2021,05-2021,06-2021,07-2021,08-2021,09-2021,10-2021,11-2021,12-2021,01-2022,02-2022,03-2022,04-2022,05-2022,06-2022,07-2022,08-2022,09-2022,10-2022,11-2022,12-2022,01-2023,02-2023,03-2023,04-2023,05-2023,06-2023,07-2023,08-2023,09-2023,10-2023,11-2023,12-2023,01-2024,02-2024,03-2024,04-2024,05-2024,06-2024,07-2024,08-2024,09-2024,10-2024,11-2024,12-2024,01-2025,02-2025,03-2025,04-2025,05-2025,06-2025,07-2025,08-2025,09-2025,10-2025,11-2025
Ohio,1282,1224,1128,1118,1053,1208,1117,1157,1361,1295,1316,1239,1472,1376,1264,1201,1087,1058,1174,1276,1358,1317,1496,1558,1676,1540,1329,1352,1178,1126,1193,1186,1316,1443,1429,1416,1490,1705,1346,1379,1295,1372,1268,1518,1560,1506,1709,1552,1614,1825,1402,1486,1350,1470,1305,1645,1650,1672,1996,1822,2039,1951,1778,1886,1685,1674,1655,1715,1999,1947,2136,1937,2074,1941,1649,1755,1656,1609,1501,1602,1701,1664,1846,1778,1961,1706,1254,1668,1571,1470,1627,1725,1791,1614,1802,1768,1658,1522,1425,1614,1433,1449,1452,1553,1735,1542,1679,1673,2498,1543,1294,1465,1332,1466,1530,1717,1586,1507,1681,1493,1519,1520,1296,1211,1204,1327,1362,1473,1516,1497,1445,1453,1488,1176,1025,1025,1011,1197,1059,1099,1187,1105,1225,1166,1163,1098,787,923,871,947,842,1141,1065,946,1092,1019,1030,1049,860,901,990,1048,977,1161,1230,1079,1164,1131,1275,1215,996,1102,1116,1131,1081,1205,1229,1189,1297,1279,1256,1264,994,1229,1239,1364,1374,1457,1568,1365,1510,1442,1489,1474,1147,1280,1235,1505,1283,1469,1472,1506,1673,1443,1431,1223,1018,1226,1199,1294,1244,1458,1464,1419,1532,1375,1417,1363,1103,1302,1228,1350,1352,1514,1519,1479,1475,1529,1475,1400,1050,1239,1414,1479,1433,1573,1707,1501,1607,1706,1594,1602,1173,1427,1362,1509,1545,1542,1661,1638,1719,1634,1710,1514,1030,1410,1379,1548,1438,1611,1511,1460,1567,1550,1631,1349,1025,1317,1437,1403,1471,1620,1722,1667,1649,1599,1656,1438,1058,1359,1343,1484,1524,1512,1575,1419,1593,1424,1397,1310,870,1218,1213,1369,1405,1517,1534,1364,1468,1332,1293,1179,777,1072,1168,1320,1360,1449,1409,1358,1374,1507,1466,1198,912,1115,1177,1263,1238,1363,1385,1240,1412,1343,1259,1285,905,994,1127,1269,1209,1170,1277,1195,1216,1172,1156,1062,695,832,1015,1063,1050,1042,1089,1179,1128,943,1047,957,678,885,1006,1015,1090,1051,1151,1107,1052,820,813,1006,802,944,883,932,1020,1070,1146,1025,1051,1169,981,984,764,757,831,904,923,969,926,943,941,831,915,866,732,744,712,723,766,821,878,808,755,763,781,710,581,573,614,686,731,803,845,830,780,753,739,737,578,592,539,612,648,628,704,650,652,594,656,582,503,515,511,586,577,606,590,590,590,535,636,503,417,493,472,576,538,613,544,576,531,536,507,505,456,446,502,547,528,589,559,495,504,462,417,429,383,453,471,450,471,574,564,444,533,458,417,352,273,358,306,364,375,360,344,329,264,23
Ohio Clearances,338,397,335,334,336,342,357,352,341,404,405,296,432,374,341,391,311,283,346,407,398,330,426,397,448,353,363,496,408,356,302,312,325,399,383,379,422,430,429,517,370,378,346,375,490,404,426,387,381,465,381,495,367,390,336,390,448,490,458,421,497,459,432,513,457,454,472,440,451,479,534,454,530,534,521,460,522,455,436,472,421,430,459,410,504,384,346,402,407,312,459,421,466,468,482,505,471,480,407,446,400,391,395,387,487,431,470,455,653,420,399,428,412,436,434,441,478,414,533,415,490,554,357,422,330,321,339,397,459,396,499,444,406,366,321,303,331,316,307,291,315,355,286,293,278,409,295,277,211,276,232,250,271,261,148,189,298,238,190,269,231,187,231,281,240,273,235,188,429,256,230,329,241,247,232,317,249,295,262,280,262,258,256,279,342,270,283,328,359,282,335,275,272,296,229,241,291,280,341,276,265,287,330,262,289,220,206,188,209,217,215,230,248,247,256,246,317,255,231,286,274,322,339,346,366,314,301,358,322,290,247,302,310,332,302,297,359,354,305,350,327,282,250,310,288,290,293,311,309,312,315,338,362,279,212,287,291,327,278,340,336,292,356,325,332,326,252,307,334,313,292,336,346,358,385,323,334,359,250,359,329,365,350,364,303,319,349,319,327,293,241,287,273,293,277,297,318,253,271,230,270,313,213,253,246,286,258,311,317,293,276,290,312,273,280,239,261,276,220,276,261,270,269,233,232,295,213,232,270,276,239,247,237,218,251,208,226,232,206,209,233,231,206,263,224,239,250,214,228,265,183,207,217,212,227,191,239,224,257,209,204,202,165,218,186,211,218,193,222,232,227,232,204,221,167,173,185,185,183,189,180,173,161,170,175,205,149,167,163,147,160,160,177,189,152,169,140,168,146,155,148,129,145,159,153,190,173,154,148,161,151,168,132,124,146,124,122,148,101,113,134,106,109,124,111,106,123,121,127,103,133,117,122,108,96,108,111,124,131,117,125,106,98,107,99,128,108,107,108,108,112,108,124,98,94,105,84,122,108,97,119,111,118,123,118,113,116,104,96,129,72,92,84,77,97,83,85,87,63,7
